1,131,1,2
1,224,1,1
1,318,1,2
1,506,1,1
1,506,1,2
1,693,1,2
1,693,1,1
1,881,1,2
1,881,1,1
2,68,1,2
2,256,1,1
2,443,1,1
2,631,1,2
2,818,1,2
3,6,1,1
3,193,1,1
3,381,1,2
3,568,1,2
3,756,1,1
3,943,1,1
4,131,1,2
4,318,1,2
4,506,1,1
4,693,1,1
4,881,1,2
5,68,1,2
5,256,1,1
5,443,1,1
5,631,1,2
5,818,1,2
6,6,1,1
6,193,1,1
6,381,1,2
6,568,1,2
6,756,1,1
6,943,1,1
7,131,1,2
7,318,1,1
7,412,1,1
7,506,1,2
7,881,1,1
8,68,1,1
8,256,1,2
8,443,1,2
8,631,1,1
8,818,1,1
9,6,1,2
9,193,1,2
9,381,1,1
9,568,1,1
9,756,1,2
9,943,1,2
10,131,1,1
10,318,1,1
10,506,1,2
10,693,1,2
10,787,1,1
10,881,1,1
11,68,1,1
11,256,1,2
11,443,1,2
11,631,1,1
11,818,1,1
12,6,1,2
12,193,1,2
12,381,1,1
12,568,1,1
12,756,1,2
12,943,1,2
13,131,1,1
13,318,1,2
13,506,1,2
13,693,1,2
13,881,1,1
14,68,1,1
14,256,1,2
14,443,1,2
14,631,1,1
14,818,1,1
15,6,1,2
15,193,1,2
15,381,1,1
15,568,1,1
15,756,1,2
15,943,1,2
16,131,1,1
16,318,1,1
16,506,1,2
16,694,1,2
16,881,1,2
17,69,1,2
17,256,1,2
17,444,1,2
17,631,1,1
17,819,1,1
18,6,1,1
18,194,1,1
18,381,1,1
18,569,1,2
18,756,1,1
18,944,1,1
19,131,1,1
19,319,1,2
19,506,1,2
19,506,1,1
19,881,1,2
19,975,1,1
20,162,1,2
20,256,1,1
20,444,1,2
20,537,1,1
20,725,1,1
20,819,1,2
21,6,12,1
21,381,1,2
21,475,1,1
21,662,1,2
21,756,1,1
21,944,1,2
22,37,1,1
22,225,1,1
22,319,12,2
22,881,1,1
22,975,1,2
23,162,1,1
23,256,1,2
23,444,1,1
23,537,1,2
23,725,1,2
23,819,1,1
24,6,1,1
24,194,1,1
24,381,1,2
24,475,1,1
24,663,1,1
24,756,1,2
24,944,1,2
25,38,1,1
25,225,1,1
25,319,1,2
25,506,1,1
25,694,1,2
25,881,1,1
26,163,1,2
26,444,1,1
26,631,1,2
26,819,1,1
27,6,1,1
27,194,1,2
27,381,1,1
27,569,1,1
27,756,1,2
27,944,1,2
28,131,1,1
28,319,1,1
28,506,1,2
28,694,1,2
